Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly BioSample Accession	CheckM completeness	CheckM contamination
GCF_028750615.1	ASM2875061v1	Xanthomonas campestris pv. campestris		42-2					GCF_028750615.1-RS_2024_05_12	Complete Genome	2023-02-21		2							PacBio Sequel	SAMN17198911	98.96	1.34
GCA_028750635.1	ASM2875063v1	Xanthomonas campestris pv. campestris		42-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198912	98.91	1.04
GCF_028750635.1	ASM2875063v1	Xanthomonas campestris pv. campestris		42-4					GCF_028750635.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198912	98.91	1.04
GCA_028750655.1	ASM2875065v1	Xanthomonas campestris pv. campestris		42-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	SAMN17198910	98.96	1.34
GCF_028750655.1	ASM2875065v1	Xanthomonas campestris pv. campestris		42-1					GCF_028750655.1-RS_2024_05_12	Complete Genome	2023-02-21		2							PacBio Sequel	SAMN17198910	98.96	1.34
GCA_021777195.1	ASM2177719v1	Xanthomonas campestris pv. campestris		GSXT20191014					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-02-01		1							Oxford Nanopore	SAMN17527558	98.56	1.21
GCF_021777195.1	ASM2177719v1	Xanthomonas campestris pv. campestris		GSXT20191014					GCF_021777195.1-RS_2024_05_06	Complete Genome	2022-02-01		1							Oxford Nanopore	SAMN17527558	98.56	1.21
GCA_028751315.1	ASM2875131v1	Xanthomonas campestris pv. campestris		33-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	SAMN17198904	99.05	1.34
GCF_028751315.1	ASM2875131v1	Xanthomonas campestris pv. campestris		33-1					GCF_028751315.1-RS_2024_05_06	Complete Genome	2023-02-21		2							PacBio Sequel	SAMN17198904	99.05	1.34
GCA_028749545.1	ASM2874954v1	Xanthomonas campestris pv. campestris		CFBP6943					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	SAMN17198956	98.81	1.72
GCF_028749545.1	ASM2874954v1	Xanthomonas campestris pv. campestris		CFBP6943					GCF_028749545.1-RS_2024_05_12	Complete Genome	2023-02-21		2							PacBio Sequel	SAMN17198956	98.81	1.72
GCA_028751355.1	ASM2875135v1	Xanthomonas campestris pv. campestris		29-5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198902	99.18	0.88
GCF_028751355.1	ASM2875135v1	Xanthomonas campestris pv. campestris		29-5					GCF_028751355.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198902	99.18	0.88
GCA_028751335.1	ASM2875133v1	Xanthomonas campestris pv. campestris		29-6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198903	99.18	0.88
GCF_028751335.1	ASM2875133v1	Xanthomonas campestris pv. campestris		29-6					GCF_028751335.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198903	99.18	0.88
GCF_024298605.1	ASM2429860v1	Xanthomonas campestris pv. campestris		CN05					GCF_024298605.1-RS_2024_05_06	Complete Genome	2022-07-18		2							Oxford Nanopore GridION	SAMN29495283	96.29	1.31
GCA_028750555.1	ASM2875055v1	Xanthomonas campestris pv. campestris		27-6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198916	99.18	0.88
GCF_028750555.1	ASM2875055v1	Xanthomonas campestris pv. campestris		27-6					GCF_028750555.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198916	99.18	0.88
GCA_028750415.1	ASM2875041v1	Xanthomonas campestris pv. campestris		28-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198918	99.18	0.88
GCF_028750415.1	ASM2875041v1	Xanthomonas campestris pv. campestris		28-1					GCF_028750415.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198918	99.18	0.88
GCA_028750595.1	ASM2875059v1	Xanthomonas campestris pv. campestris		15-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198913	99.12	0.88
GCF_028750595.1	ASM2875059v1	Xanthomonas campestris pv. campestris		15-1					GCF_028750595.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198913	99.12	0.88
GCA_028750535.1	ASM2875053v1	Xanthomonas campestris pv. campestris		27-9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198917	99.12	0.88
GCF_028750535.1	ASM2875053v1	Xanthomonas campestris pv. campestris		27-9					GCF_028750535.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198917	99.12	0.88
GCA_028750575.1	ASM2875057v1	Xanthomonas campestris pv. campestris		25-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198914	99.18	0.88
GCF_028750575.1	ASM2875057v1	Xanthomonas campestris pv. campestris		25-4					GCF_028750575.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198914	99.18	0.88
GCA_028750515.1	ASM2875051v1	Xanthomonas campestris pv. campestris		27-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198915	99.18	0.88
GCF_028750515.1	ASM2875051v1	Xanthomonas campestris pv. campestris		27-10					GCF_028750515.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198915	99.18	0.88
GCA_028751395.1	ASM2875139v1	Xanthomonas campestris pv. campestris		40-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198901	99.15	0.88
GCF_028751395.1	ASM2875139v1	Xanthomonas campestris pv. campestris		40-2					GCF_028751395.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198901	99.15	0.88
GCA_040193835.2	ASM4019383v2	Xanthomonas campestris pv. campestris		WHRI 8955					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-30		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN39785610	99.31	0.9
GCF_040193835.2	ASM4019383v2	Xanthomonas campestris pv. campestris		WHRI 8955					GCF_040193835.2-RS_2024_08_31	Complete Genome	2024-08-31		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN39785610	99.31	0.9
GCA_001186415.1	ASM118641v1	Xanthomonas campestris pv. campestris		ICMP 21080					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-07-24		1							Illumina HiSeq	SAMN03614209	98.1	0.8
GCF_001186415.1	ASM118641v1	Xanthomonas campestris pv. campestris		ICMP 21080					GCF_001186415.1-RS_2024_05_05	Complete Genome	2015-07-24		1							Illumina HiSeq	SAMN03614209	98.1	0.8
GCA_001186465.1	ASM118646v1	Xanthomonas campestris pv. campestris		ICMP 4013					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-07-24		1							Illumina HiSeq	SAMN03614208	97.84	1.02
GCF_001186465.1	ASM118646v1	Xanthomonas campestris pv. campestris		ICMP 4013					GCF_001186465.1-RS_2024_05_05	Complete Genome	2015-07-24		1							Illumina HiSeq	SAMN03614208	97.84	1.02
GCA_028750075.1	ASM2875007v1	Xanthomonas campestris		11-19					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198931	97.53	1.4
GCF_028750075.1	ASM2875007v1	Xanthomonas campestris		11-19					GCF_028750075.1-RS_2024_09_01	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198931	97.53	1.4
GCF_030062435.1	ASM3006243v1	Xanthomonas campestris		TJ					GCF_030062435.1-RS_2024_05_12	Complete Genome	2023-05-22		2							Oxford Nanopore PromethION; MGISEQ-2000	SAMN34393975	99.38	1.51
GCA_028749625.1	ASM2874962v1	Xanthomonas campestris		CFBP5824					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198952	97.87	1.12
GCF_028749625.1	ASM2874962v1	Xanthomonas campestris		CFBP5824					GCF_028749625.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198952	97.87	1.12
GCF_030062515.1	ASM3006251v1	Xanthomonas campestris		DX					GCF_030062515.1-RS_2024_05_12	Complete Genome	2023-05-22		1							Oxford Nanopore PromethION; MGISEQ-2000	SAMN34393973	99.4	1.21
GCA_040194615.2	ASM4019461v2	Xanthomonas campestris		WHRI 3892A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-30		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN39908788	99.37	0.9
GCF_040194615.2	ASM4019461v2	Xanthomonas campestris		WHRI 3892A					GCF_040194615.2-RS_2024_08_31	Complete Genome	2024-08-31		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN39908788	99.37	0.9
GCA_030053615.1	ASM3005361v1	Xanthomonas campestris		GBBC 3077					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-05-21		1							Oxford Nanopore MinION	SAMN34582449	98.07	1.48
GCF_030053615.1	ASM3005361v1	Xanthomonas campestris		GBBC 3077					GCF_030053615.1-RS_2024_05_12	Complete Genome	2023-05-21		1							Oxford Nanopore MinION	SAMN34582449	98.07	1.48
GCF_030062465.1	ASM3006246v1	Xanthomonas campestris		JN					GCF_030062465.1-RS_2024_05_12	Complete Genome	2023-05-22		1							Oxford Nanopore PromethION; MGISEQ-2000	SAMN34393974	99.34	1.21
GCA_014841015.1	ASM1484101v1	Xanthomonas campestris		M28					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-10-04		1							Illumina; Oxford Nanopore MinION	SAMN16237388	96.88	0.93
GCF_014841015.1	ASM1484101v1	Xanthomonas campestris		M28					GCF_014841015.1-RS_2024_05_12	Complete Genome	2020-10-04		1							Illumina; Oxford Nanopore MinION	SAMN16237388	96.88	0.93
GCF_030062415.1	ASM3006241v1	Xanthomonas campestris		YX					GCF_030062415.1-RS_2024_05_12	Complete Genome	2023-05-22		1							Oxford Nanopore PromethION; MGISEQ-2000	SAMN34393976	99.2	0.84
GCA_028749585.1	ASM2874958v1	Xanthomonas campestris		5053					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198954	98.5	2.95
GCF_028749585.1	ASM2874958v1	Xanthomonas campestris		5053					GCF_028749585.1-RS_2024_09_01	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198954	98.5	2.95
GCA_040194835.2	ASM4019483v2	Xanthomonas campestris		WHRI 10255					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-30		2							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN39908783	97.59	1.44
GCF_040194835.2	ASM4019483v2	Xanthomonas campestris		WHRI 10255					GCF_040194835.2-RS_2024_08_31	Complete Genome	2024-08-31		2							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN39908783	97.59	1.44
GCA_028750335.1	ASM2875033v1	Xanthomonas campestris		10-16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198925	97.84	1.26
GCF_028750335.1	ASM2875033v1	Xanthomonas campestris		10-16					GCF_028750335.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198925	97.84	1.26
GCA_030053635.1	ASM3005363v1	Xanthomonas campestris		GBBC 3139					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-05-21		1							Oxford Nanopore MinION	SAMN34582448	94.34	0.72
GCF_030053635.1	ASM3005363v1	Xanthomonas campestris		GBBC 3139					GCF_030053635.1-RS_2024_05_12	Complete Genome	2023-05-21		1							Oxford Nanopore MinION	SAMN34582448	94.34	0.72
GCA_028750135.1	ASM2875013v1	Xanthomonas campestris		3054					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		3							PacBio Sequel	SAMN17198928	97.98	2.34
GCF_028750135.1	ASM2875013v1	Xanthomonas campestris		3054					GCF_028750135.1-RS_2024_05_06	Complete Genome	2023-02-21		3							PacBio Sequel	SAMN17198928	97.98	2.34
GCA_000012105.1	ASM1210v1	Xanthomonas campestris pv. campestris str. 8004		8004					Annotation submitted by Chinese National HGC, Shanghai	Complete Genome	2005-05-25		1								SAMN02603125	98.5	0.8
GCF_000012105.1	ASM1210v1	Xanthomonas campestris pv. campestris str. 8004		8004					GCF_000012105.1-RS_2024_05_05	Complete Genome	2005-05-25		1								SAMN02603125	98.5	0.8
GCF_002776835.1	ASM277683v1	Xanthomonas campestris pv. campestris str. CN18		CN18					GCF_002776835.1-RS_2024_05_05	Complete Genome	2017-11-16		4							PacBio	SAMN05791239	99.26	3.03
GCA_028749725.1	ASM2874972v1	Xanthomonas campestris pv. raphani		609					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198947	98.89	1.3
GCF_028749725.1	ASM2874972v1	Xanthomonas campestris pv. raphani		609					GCF_028749725.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198947	98.89	1.3
GCA_028749685.1	ASM2874968v1	Xanthomonas campestris pv. raphani		719					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198948	98.93	1.19
GCF_028749685.1	ASM2874968v1	Xanthomonas campestris pv. raphani		719					GCF_028749685.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198948	98.93	1.19
GCA_028749565.1	ASM2874956v1	Xanthomonas campestris pv. raphani		5055					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198955	98.89	0.89
GCF_028749565.1	ASM2874956v1	Xanthomonas campestris pv. raphani		5055					GCF_028749565.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198955	98.89	0.89
GCA_028749745.1	ASM2874974v1	Xanthomonas campestris pv. raphani		576					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198946	98.89	0.89
GCF_028749745.1	ASM2874974v1	Xanthomonas campestris pv. raphani		576					GCF_028749745.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198946	98.89	0.89
GCF_002776715.1	ASM277671v1	Xanthomonas campestris pv. campestris str. CN17		CN17					GCF_002776715.1-RS_2024_04_03	Complete Genome	2017-11-16		1							PacBio	SAMN02645662	99.04	2.14
GCF_002776775.1	ASM277677v1	Xanthomonas campestris pv. campestris str. CN12		CN12					GCF_002776775.1-RS_2024_05_05	Complete Genome	2017-11-16		1							PacBio	SAMN05791232	98.58	1.21
GCA_028750115.1	ASM2875011v1	Xanthomonas campestris pv. incanae		5057					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	SAMN17198929	98.79	1.24
GCF_028750115.1	ASM2875011v1	Xanthomonas campestris pv. incanae		5057					GCF_028750115.1-RS_2024_05_12	Complete Genome	2023-02-21		2							PacBio Sequel	SAMN17198929	98.79	1.24
GCA_020813315.3	ASM2081331v3	Xanthomonas campestris pv. barbareae		NCPPB 983					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-09-03		1							Illumina NovaSeq; Oxford Nanopore MinION	SAMN22552839	98.32	1.09
GCF_020813315.3	ASM2081331v3	Xanthomonas campestris pv. barbareae		NCPPB 983					GCF_020813315.3-RS_2024_09_07	Complete Genome	2024-09-03		1							Illumina NovaSeq; Oxford Nanopore MinION	SAMN22552839	98.32	1.09
GCA_028750275.1	ASM2875027v1	Xanthomonas campestris pv. incanae		16-8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198926	99.03	0.86
GCF_028750275.1	ASM2875027v1	Xanthomonas campestris pv. incanae		16-8					GCF_028750275.1-RS_2024_05_06	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198926	99.03	0.86
GCF_002776735.1	ASM277673v1	Xanthomonas campestris pv. campestris str. CN03		CN03					GCF_002776735.1-RS_2024_05_06	Complete Genome	2017-11-16		2							PacBio	SAMN02645665	98.61	2.33
GCF_000401735.2	ASM40173v2	Xanthomonas campestris pv. campestris str. CN14		CN14					GCF_000401735.2-RS_2024_05_05	Complete Genome	2017-11-16		2							PacBio	SAMN02469931	97.72	1.83
GCF_000403575.2	ASM40357v2	Xanthomonas campestris pv. campestris str. CN15		CN15					GCF_000403575.2-RS_2024_05_05	Complete Genome	2017-11-16		3							PacBio	SAMN02469928	97.76	1.66
GCA_028750055.1	ASM2875005v1	Xanthomonas campestris pv. incanae		8-14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	SAMN17198932	98.91	1.46
GCF_028750055.1	ASM2875005v1	Xanthomonas campestris pv. incanae		8-14					GCF_028750055.1-RS_2024_05_06	Complete Genome	2023-02-21		2							PacBio Sequel	SAMN17198932	98.91	1.46
GCA_028749605.1	ASM2874960v1	Xanthomonas campestris pv. incanae		CFBP1606					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	SAMN17198953	97.77	1.44
GCF_028749605.1	ASM2874960v1	Xanthomonas campestris pv. incanae		CFBP1606					GCF_028749605.1-RS_2024_05_06	Complete Genome	2023-02-21		2							PacBio Sequel	SAMN17198953	97.77	1.44
GCA_040194535.2	ASM4019453v2	Xanthomonas campestris pv. armoraciae		WHRI 8093					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-30		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354514	98.42	1.19
GCF_040194535.2	ASM4019453v2	Xanthomonas campestris pv. armoraciae		WHRI 8093					GCF_040194535.2-RS_2024_08_31	Complete Genome	2024-08-31		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354514	98.42	1.19
GCA_020008105.1	ASM2000810v1	Xanthomonas campestris pv. incanae		18048					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-16		1							PacBio Sequel	SAMN17198921	99.02	0.85
GCF_020008105.1	ASM2000810v1	Xanthomonas campestris pv. incanae		18048					GCF_020008105.1-RS_2024_05_06	Complete Genome	2021-09-16		1							PacBio Sequel	SAMN17198921	99.02	0.85
GCA_028750095.1	ASM2875009v1	Xanthomonas campestris pv. incanae		4053					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	SAMN17198930	98.97	1.49
GCF_028750095.1	ASM2875009v1	Xanthomonas campestris pv. incanae		4053					GCF_028750095.1-RS_2024_09_01	Complete Genome	2023-02-21		2							PacBio Sequel	SAMN17198930	98.97	1.49
GCA_028749645.1	ASM2874964v1	Xanthomonas campestris pv. incanae		CFBP1371					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198950	98.49	1.4
GCF_028749645.1	ASM2874964v1	Xanthomonas campestris pv. incanae		CFBP1371					GCF_028749645.1-RS_2024_05_12	Complete Genome	2023-02-21		1							PacBio Sequel	SAMN17198950	98.49	1.4
GCA_000221965.1	ASM22196v1	Xanthomonas campestris pv. raphani 756C		756C					Annotation submitted by Center for Bioinformatics and Computational Biology	Complete Genome	2011-07-29		1								SAMN02603062	99.29	0.54
GCF_000221965.1	ASM22196v1	Xanthomonas campestris pv. raphani 756C		756C					GCF_000221965.1-RS_2024_05_05	Complete Genome	2011-07-29		1								SAMN02603062	99.29	0.54
GCA_028749665.1	ASM2874966v1	Xanthomonas campestris pv. incanae		CFBP6690					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-21		2							PacBio Sequel	SAMN17198951	98.3	1.63
GCF_028749665.1	ASM2874966v1	Xanthomonas campestris pv. incanae		CFBP6690					GCF_028749665.1-RS_2024_05_12	Complete Genome	2023-02-21		2							PacBio Sequel	SAMN17198951	98.3	1.63
GCA_905123925.1	Xanthomonas sp. CPBF 554  hybrid assembly	Xanthomonas arboricola					Xanthomonas sp. CPBF 554		Annotation submitted by CIBIO-Inbio	Complete Genome	2023-11-01		1							Illumina, Minion	SAMEA7098607		
GCA_023375055.1	ASM2337505v1	Xanthomonas arboricola pv. juglandis		IVIA 2499					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-05-16		1							Illumina NovaSeq; PacBio RSII	SAMN19658716	99.47	1.16
GCF_023375055.1	ASM2337505v1	Xanthomonas arboricola pv. juglandis		IVIA 2499					GCF_023375055.1-RS_2024_05_12	Complete Genome	2022-05-16		1							Illumina NovaSeq; PacBio RSII	SAMN19658716	99.47	1.16
GCA_023375035.1	ASM2337503v1	Xanthomonas arboricola pv. juglandis		IVIA 1317					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-05-16		1							Illumina NovaSeq; PacBio RSII	SAMN19658355	99.47	1.16
GCF_023375035.1	ASM2337503v1	Xanthomonas arboricola pv. juglandis		IVIA 1317					GCF_023375035.1-RS_2024_05_12	Complete Genome	2022-05-16		1							Illumina NovaSeq; PacBio RSII	SAMN19658355	99.47	1.16
GCA_903995545.1	Xanthomonas sp. CPBF 237 hybrid assembly	Xanthomonas arboricola					Xanthomonas sp. CPBF 237		Annotation submitted by CIBIO-Inbio	Complete Genome	2023-11-01		2							Illumina, Minion	SAMEA7098604		
GCA_000972745.1	ASM97274v1	Xanthomonas arboricola		17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-04-16		1							Illumina Miseq	SAMN03470070	98.67	0.67
GCF_000972745.1	ASM97274v1	Xanthomonas arboricola		17					GCF_000972745.1-RS_2024_05_05	Complete Genome	2015-04-16		1							Illumina Miseq	SAMN03470070	98.67	0.67
GCA_905123105.1	Xanthomonas sp. CPBF 1483  hybrid assembly	Xanthomonas arboricola					Xanthomonas sp. CPBF 1483		Annotation submitted by CIBIO-Inbio	Complete Genome	2023-11-01		1							Illumina, Minion	SAMEA7098598		
GCA_041464225.1	NCPPB416v1_ONT	Xanthomonas arboricola pv. pruni		NCPPB 416					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-26		3							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN41996497	98.16	0.75
GCF_041464225.1	NCPPB416v1_ONT	Xanthomonas arboricola pv. pruni		NCPPB 416					GCF_041464225.1-RS_2024_08_27	Complete Genome	2024-08-28		3							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN41996497	98.16	0.75
GCA_903989475.2	X arboricola CPBF 427 hybrid assembly	Xanthomonas arboricola pv. juglandis					3		Annotation submitted by CIBIO-Inbio	Complete Genome	2020-07-28		1								SAMEA7068332	99.68	1.1
GCF_903989475.2	X arboricola CPBF 427 hybrid assembly	Xanthomonas arboricola pv. juglandis					3		GCF_903989475.2-RS_2024_05_06	Complete Genome	2020-07-28		1								SAMEA7068332	99.68	1.1
GCA_040201855.2	ASM4020185v2	Xanthomonas arboricola pv. juglandis		WHRI 5692A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-09-10		2							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354550	99.54	1.52
GCF_040201855.2	ASM4020185v2	Xanthomonas arboricola pv. juglandis		WHRI 5692A					GCF_040201855.2-RS_2024_09_11	Complete Genome	2024-09-12		2							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354550	99.54	1.52
GCA_008761555.1	ASM876155v1	Xanthomonas arboricola pv. pruni		15-088					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-10-01		1							PacBio RSII	SAMN12826228	98.75	0.75
GCF_008761555.1	ASM876155v1	Xanthomonas arboricola pv. pruni		15-088					GCF_008761555.1-RS_2024_05_06	Complete Genome	2019-10-01		1							PacBio RSII	SAMN12826228	98.75	0.75
GCA_905123125.1	Xanthomonas sp. CPBF 1567 hybrid assembly	Xanthomonas arboricola					Xanthomonas sp. CPBF 1567		Annotation submitted by CIBIO-Inbio	Complete Genome	2023-11-01		1							Illumina, Minion	SAMEA7098601		
GCA_020043425.2	ASM2004342v2	Xanthomonas arboricola pv. pruni		T1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-31		3							Oxford Nanopore MinION	SAMN21380708	97.59	0.75
GCF_020043425.2	ASM2004342v2	Xanthomonas arboricola pv. pruni		T1					GCF_020043425.2-RS_2024_05_12	Complete Genome	2022-01-31		3							Oxford Nanopore MinION	SAMN21380708	97.59	0.75
GCA_905367745.1	Xanthomonas arboricola CPBF 765 hybrid assembly 2	Xanthomonas arboricola pv. juglandis					Xanthomonas arboricola pv. juglandis CPBF 765 isolated from C. illinoinensis		Annotation submitted by CIBIO-Inbio	Complete Genome	2021-03-24		1								SAMEA8241780	99.77	1.39
GCF_905367745.1	Xanthomonas arboricola CPBF 765 hybrid assembly 2	Xanthomonas arboricola pv. juglandis					Xanthomonas arboricola pv. juglandis CPBF 765 isolated from C. illinoinensis		GCF_905367745.1-RS_2024_05_12	Complete Genome	2021-03-24		1								SAMEA8241780	99.77	1.39
GCA_021733585.3	ASM2173358v3	Xanthomonas arboricola pv. pruni		Xcp1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-05-05		2							PacBio; Illumina	SAMN24847855	98.82	0.75
GCF_021733585.2	ASM2173358v3	Xanthomonas arboricola pv. pruni		Xcp1					GCF_021733585.2-RS_2024_05_12	Complete Genome	2022-05-05		2							PacBio; Illumina	SAMN24847855	98.82	0.75
GCA_905123935.1	ASM90512393v1	Xanthomonas arboricola					Xanthomonas sp. CPBF 1514		Annotation submitted by CIBIO-Inbio	Complete Genome	2023-11-01		1							Illumina, Minion	SAMEA7098600		
GCA_020002335.2	ASM2000233v2	Xanthomonas arboricola pv. pruni		R1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-24		3							Oxford Nanopore MinION	SAMN21380559	98.25	0.75
GCF_020002335.2	ASM2000233v2	Xanthomonas arboricola pv. pruni		R1					GCF_020002335.2-RS_2024_05_06	Complete Genome	2022-01-24		3							Oxford Nanopore MinION	SAMN21380559	98.25	0.75
